"order","section","period","title_tr","title_en","detail_tr","detail_en"
1,"certification","2018","SPSS Uygulamalı Temel Eğitim","SPSS Applied Basic Training","Yıldız Teknik Üniversitesi","Yıldız Technical University"
2,"certification","2022","TFF Grassroots C Antrenörlük Kursu","TFF Grassroots C License Coaching Course","Türkiye Futbol Federasyonu","Turkish Football Federation"
3,"certification","2020–2022","TFF Psikolojik Performans Danışmanlığı Eğitimleri","TFF Psychological Performance Consulting Courses","Seviye 1–3","Levels 1–3"
4,"certification","","Profesyonel iletişim ve sunum eğitimleri","Professional communication and presentation training","Profesyonel iletişim, beden dili, müzakere teknikleri ve topluluk önünde konuşma","Professional communication, body language, negotiation techniques, and public speaking"
5,"coaching","2024–2026","Amatör Takım Antrenörü · KDZ Ereğligücü","Amateur Team Coach · KDZ Ereğligücü","",""
6,"coaching","2023","Amatör Takım Antrenörü · KDZ Ereğli Lisesi Spor Kulübü","Amateur Team Coach · KDZ Ereğli Lisesi Sports Club","",""
7,"coaching","","UEFA Grassroots C Lisanslı Antrenör","UEFA Grassroots C Licensed Coach","",""
8,"membership","2020–present","Türk Psikolojik Danışma ve Rehberlik Derneği","Turkish Psychological Counseling and Guidance Association","Üye","Member"
9,"language","","Türkçe","Turkish","Ana dil","Native"
10,"language","","İngilizce","English","İleri düzey · Okuma, yazma ve konuşma","Advanced · Reading, writing, and speaking"
11,"skill","","R Programlama","R Programming","",""
12,"skill","","SPSS","SPSS","",""
13,"skill","","Nitel Araştırma · Vaka Çalışması","Qualitative Research · Case Study Methodology","",""
14,"skill","","Psikolojik Danışmanlık Uygulaması ve Süpervizyon","Counseling Practice and Supervision","",""
